"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC021224.1",1645.01454071018,0.621841652501668,0.103369334860299,6.0157265531608,1.79081650355898e-09,6.37888838567709e-06
"AL662797.1",2592.3723513392,0.489946079934933,0.0973873182546682,5.03090226443779,4.88176973204689e-07,0.000869443189277552
"CD7",2462.02075824391,-0.367233963634981,0.0746803437432671,-4.91741126550572,8.76961865904677e-07,0.00104124605545082
"HIST1H2BK",6713.63474283937,-0.397894397535256,0.0889821057276745,-4.47162262885745,7.76283246652487e-06,0.00553024184915232
"RAG1",2446.42273956074,-0.367809886557522,0.0819042115863322,-4.49073227656709,7.09787228837685e-06,0.00553024184915232
"RPLP1",18890.7595853452,-0.283611585321217,0.0651388399219592,-4.3539551158879,1.3370309312705e-05,0.00793750696197586
"HIST1H3H",7573.015870447,-0.415239084264257,0.096337075875749,-4.3102728673207,1.63053225848733e-05,0.00829707986390269
"HIST1H4H",8168.88353568974,-0.369242451046289,0.0871844153541554,-4.23518870369634,2.28359855653369e-05,0.00939836099360915
"MIF",2254.15756881907,-0.331431860192275,0.0784195289937544,-4.22639442553488,2.37465606239423e-05,0.00939836099360915
"SIX6",2417.39732274909,-0.322976854883932,0.077520953854549,-4.16631683209067,3.09560400227669e-05,0.0110265414561096
"HIST1H3C",3990.8353902479,-0.368862464528986,0.0891537172730827,-4.13737616121086,3.51299938613036e-05,0.0113757307394512
"HIST1H3B",13321.9183515607,-0.321329780722618,0.0798643683954767,-4.02344358539769,5.73533271497396e-05,0.0157148116390287
"HIST1H4E",12163.1124766586,-0.300352721561303,0.0744052032021355,-4.0367166358694,5.42044729053566e-05,0.0157148116390287
"AL356488.2",14517.5112192621,-0.272607029418898,0.0687637732815592,-3.96439893288993,7.35811125530837e-05,0.018721137351006
"HIST1H1E",12564.6270677997,-0.245841316305742,0.0629274315946438,-3.90674321318825,9.35484776372397e-05,0.0188323056584724
"GTPBP6",2108.57286726264,-0.369224318192804,0.0937052914555939,-3.94027180810569,8.13893385854599e-05,0.0188323056584724
