"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C11orf21",16.3854170773693,-3.77874552822426,0.920106787187714,-4.10685540074529,4.01082137800933e-05,0.0226912219460878
"MICALL2",364.536133539621,-0.669637029054802,0.164009827384865,-4.0829079557741,4.44756419722609e-05,0.0235845499924443
"AC069287.2",63.0800548384339,1.64867517912567,0.405099948352144,4.06979854189593,4.70538083323783e-05,0.0235845499924443
"DNMBP-AS1",47.8457342893977,1.84740388337308,0.453442977536069,4.07417023726235,4.61786944161159e-05,0.0235845499924443
"POLG",6460.98040685875,-0.469303985118586,0.115395980566675,-4.06690062178922,4.76425478036878e-05,0.0235845499924443
"RFLNB",851.963038241686,-0.57118876869318,0.141233079528983,-4.04429876200471,5.24799627244631e-05,0.0244510320446535
"KDM6B",3166.70945313587,-0.323145112488396,0.0797850213258899,-4.05019773283606,5.11743728648609e-05,0.0244510320446535
"BHLHE40",460.348809428605,-0.647758997336337,0.160797215309305,-4.02842173659739,5.61525471906661e-05,0.0248468997898398
"AC025423.4",98.7626954311405,1.34474295358495,0.333922592794274,4.02710982306438,5.64666619805716e-05,0.0248468997898398
"AC125611.3",359.316402455097,0.748298786590795,0.188216973786747,3.975724248115,7.01653908538514e-05,0.0288443328909802
"RAP1GAP2",1462.37878970422,-0.409478818868501,0.102760642773593,-3.98478257644497,6.75419397947075e-05,0.0288443328909802
"SCN1B",6.79308373458697,6.20737926519027,1.56244465293083,3.97286345698485,7.10137606684065e-05,0.0288443328909802
"GABBR1",496.636085263344,-0.568271793072446,0.144844842043703,-3.92331397552275,8.73392082833962e-05,0.034588509960432
"GRHPR",935.7672814414,-0.448807001850173,0.11518328126147,-3.89645959843222,9.76090813405791e-05,0.0374362572644621
"BICRA",635.180204649444,-0.55684461917203,0.143059375107798,-3.8924021494742,9.92565371572128e-05,0.0374362572644621
"MICAL1",1542.11962296487,-0.484661312956381,0.124785880113698,-3.88394354004464,0.000102775783179193,0.0378621204963163
"PFKFB3",1599.96182131386,-0.438594386614904,0.113303406436664,-3.87097264246928,0.000108401958568007,0.0390271687653591
"AC002398.1",19.486097617616,2.9215152780456,0.756794778956806,3.86037980081301,0.000113210920507502,0.0398527598168742
"TMSB10",4820.61655437084,-0.369172515730956,0.0958077249383938,-3.85326460855157,0.000116553312407089,0.040137413518276
"SBK1",1608.0771824287,-0.463637011075349,0.121705641244284,-3.80949482978157,0.000139251018365056,0.0469335187642734
"AC004771.5",19.4668116117874,2.87143355010237,0.755899457018967,3.79869772816932,0.000145458360698736,0.0480042894130973
